"","Date","Close","EMA10","EMA100","EMA12","EMA20","EMA26","EMA50","MACD","SMA10","SMA100","SMA15","SMA20","SMA5","SMA50","Time","Volume","PriceUp"
"1","3/11/1999",51.3125,51.43149821,55.27515449,51.55932273,52.01410789,52.26776278,53.01956506,-0.083538439,51.103125,54.46749484,51.7125,52.6554674,51.525,53.2835909,2,9688600,0
"2","3/12/1999",50.0625,51.45794226,55.35520811,51.60419959,52.08796135,52.3441838,53.08924118,-0.13596721,51.271875,54.51741633,52.075,52.9242174,51.75625,53.3129659,3,8743600,1
"3","3/15/1999",51.5,51.76804054,55.46213151,51.88450861,52.30116781,52.5267185,53.21278164,-0.0721847,51.484375,54.56171282,52.34895653,53.0835924,51.575,53.2798409,4,6369000,1
"4","3/16/1999",51.9375,51.8276051,55.54217457,51.95441926,52.38550126,52.60885598,53.2826911,-0.1024577,51.615625,54.5956188,52.55520653,53.1273424,50.95,53.26577786,5,4905800,0
"5","3/17/1999",51.5625,51.80318401,55.61499628,51.95749549,52.43265929,52.66256446,53.33759685,-0.178704374,51.70625,54.62616529,52.8156232,53.2257799,50.73125,53.25827786,6,3965000,1
"6","3/18/1999",52.5625,51.85666935,55.69686489,52.02931286,52.52425501,52.75056962,53.41004979,-0.239568262,51.80625,54.64179029,53.03228987,53.1960924,50.68125,53.24765286,7,4848400,0
"7","3/19/1999",51.21875,51.6998181,55.76018539,51.93236974,52.52022922,52.76561519,53.44464366,-0.411449014,52.234375,54.68866529,53.31353987,53.1117174,50.7875,53.24077786,8,7160400,0
"8","3/22/1999",50.59375,51.80672212,55.85193156,52.06211878,52.65722703,52.88936441,53.53549646,-0.50831144,52.7359348,54.73522779,53.58645653,53.1148424,51.39375,53.26358982,9,5024800,0
"9","3/23/1999",48.8125,52.07627148,55.95815745,52.32909492,52.87443514,53.07301356,53.65556774,-0.55206231,53.3578098,54.82366529,53.8531232,53.3320299,52.28125,53.30733982,10,10962400,1
"10","3/24/1999",50.46875,52.80155403,56.10251417,52.96847582,53.30200726,53.41385464,53.85324398,-0.391538077,53.8578098,54.90014928,54.05728987,53.5382799,52.68125,53.34921482,11,8447000,1
"11","3/25/1999",52.3125,53.31995492,56.21632759,53.42297142,53.60024487,53.64946301,53.99138659,-0.270535364,54.2078098,54.96108678,54.0343732,53.6882799,52.93125,53.37608982,12,8133800,0
